fold,test_start,test_end,n_train_days,n_test_days,n_train_rows,n_test_rows,n_features,roc_auc,accuracy_0p5,model_kind,portfolio_mode,total_return,sharpe,max_drawdown,cagr,best_threshold,best_threshold_acc
1,2023-01-26,2024-02-21,400,269,2300,1614,52,0.4994313847860759,0.5297397769516728,global,model_long_short,0.0,0.0,0.0,0.0,0.45,0.5297397769516728
1,2023-01-26,2024-02-21,400,269,2300,1614,52,0.4994313847860759,0.5297397769516728,global,model_long_only,0.0,0.0,0.0,0.0,0.45,0.5297397769516728
1,2023-01-26,2024-02-21,400,269,2300,1614,52,0.4994313847860759,0.5297397769516728,global,baseline_ew_long_all,0.10511003478524161,0.8112185082869445,-0.14000231110806172,0.09815191320906003,0.45,0.5297397769516728
2,2024-02-22,2025-03-18,669,268,3914,1608,52,0.5213091444209703,0.5286069651741293,global,model_long_short,0.0007179648738171451,0.6904751669082755,-0.0005644905230001163,0.0006750868343015082,0.51,0.5329601990049752
2,2024-02-22,2025-03-18,669,268,3914,1608,52,0.5213091444209703,0.5286069651741293,global,model_long_only,0.0007179648738171451,0.6904751669082755,-0.0005644905230001163,0.0006750868343015082,0.51,0.5329601990049752
2,2024-02-22,2025-03-18,669,268,3914,1608,52,0.5213091444209703,0.5286069651741293,global,baseline_ew_long_all,-0.17756789031971842,-1.192652266708758,-0.19228175966336336,-0.16791304943295648,0.51,0.5329601990049752
3,2025-03-19,2026-04-13,937,268,5522,1608,52,0.5026195275849601,0.5279850746268657,global,model_long_short,0.0,0.0,0.0,0.0,0.45,0.5279850746268657
3,2025-03-19,2026-04-13,937,268,5522,1608,52,0.5026195275849601,0.5279850746268657,global,model_long_only,0.0,0.0,0.0,0.0,0.45,0.5279850746268657
3,2025-03-19,2026-04-13,937,268,5522,1608,52,0.5026195275849601,0.5279850746268657,global,baseline_ew_long_all,0.00994104759776615,0.13958642600866678,-0.1930826455926944,0.009344788045177577,0.45,0.5279850746268657
